codigo,cirugia,rvu,especialidad,grupo
24430 ,REPR NONUNION/MALUNION HUMERUS; WO GFT ,8.4,Ortopedia,Brazo 
24435 ,REPR NON-MALUNION HUMERUS; W/ILIAC/OTHER AUTOGFT ,11.6 ,Ortopedia,Brazo
24470 ,HEMIEPIPHYSEAL ARREST ,7.6 ,Ortopedia,Brazo
24495 ,DECOMPRESS FASCIOTOMY FOREARM W/BRACH ART EXPLOR ,5.9,Ortopedia,Brazo 
24498 ,PROPHYLACTIC TX W/WO METHYLMETHACRYLATE HUMERUS ,7.8 ,Ortopedia,Brazo
24500 ,CLO TX HUMERAL SHAFT FX; WO MANIP ,1.3 ,Ortopedia,Brazo
24505 ,CLO TX HUMERAL SHAFT FX; W/MANIP W/WO TRACTION ,3.3 ,Ortopedia,Brazo
24515 ,OP TX HUMERAL FX W/PLATE/SCREWS W/WO CERCLAGE ,7.2 ,Ortopedia,Brazo
24516 ,OP TX HUMERAL FX W/INSRT IMPLNT W/WO CERCLAGE ,7.8 ,Ortopedia,Brazo
24530 ,CLO TX SUPRA TRANSCONDYLAR HUMERAL FX; WO MANIP ,1.2 ,Ortopedia,Brazo
24535 ,CLO TX SUPRACONDYL HUMERAL FX; W/MANIP W/WO TRAC ,3.4 ,Ortopedia,Brazo
24538 ,PERCUT FIXA SUPRACONDYL HUMER FX W/WO INTERCONDY ,6.7 ,Ortopedia,Brazo
24545 ,OP TX HUMERAL SUPRACONDYL FX; WO INTERCOND EXTEN ,8 ,Ortopedia,Brazo
24546 ,OP TX HUMERAL SUPRACONDYL FX; W/INTERCOND EXTEN ,7.3 ,Ortopedia,Brazo
24560 ,CLO TX HUMERAL EPICONDYLAR FX MED/LAT; WO MANIP, 2.2 ,Ortopedia,Brazo
24565 ,CLO TX HUMERAL EPICONDYLAR FX MED/LAT; W/MANIP, 2.7 ,Ortopedia,Brazo
24575 ,OP TX HUMERAL EPICONDYL FX MED/LAT W/WO FIXA ,5.1 ,Ortopedia,Brazo
24576 ,CLO TX HUMERAL CONDYL FX MED/LAT; WO MANIP ,1.4 ,Ortopedia,Brazo
24577 ,CLO TX HUMERAL CONDYL FX MED/LAT; W/MANIP ,2.7 ,Ortopedia,Brazo
24579 ,OP TX HUMER CONDYL FX MED/LAT W/WO INT/EXT FIXA ,6 ,Ortopedia,Brazo
24586 ,OP TX PERIARTICULAR FX &/OR DISLOC ELBOW ,7.6 ,Ortopedia,Brazo
24587 ,OP TX PERIARTIC FX/DISLOC ELBOW; W/IMPLNT ARTHRO ,10.8 ,Ortopedia,Brazo
24600 ,TX CLO ELBOW DISLOC; WO ANES ,1.3 ,Ortopedia,Brazo
24605 ,TX CLO ELBOW DISLOC; REQUIRING ANES, 1.7 ,Ortopedia,Brazo
24615 ,OP TX ACUTE/CHRONIC ELBOW DISLOC ,6 ,Ortopedia,Brazo
24620 ,CLO TX MONTEGGIA TYPE FX DISLOC-ELBOW W/MANIP ,2.7 ,Ortopedia,Brazo
24635 ,OP TX MONTEGGIA TYPE FX DISLOC-ELBOW W/WO FIXA, 7 ,Ortopedia,Brazo
