codigo,cirugia,rvu,especialidad,grupo
00600,"Anesthesia for procedures on cervical spine and cord; not otherwise specified",10,Anestesia,Espina y espalda
00604,"posterior cervical laminectomy in sitting position",13,Anestesia,Espina y espalda
00620,"Anesthesia for procedures on thoracic spine and cord; not otherwise specified",10,Anestesia,Espina y espalda
00622,"thoracolumbar sympathectomy",13,Anestesia,Espina y espalda
00630,"Anesthesia for procedures in lumbar region; not otherwise specified",8,Anestesia,Espina y espalda
00632,"lumbar sympathectomy",7,Anestesia,Espina y espalda
00634,"chemonucleolysis",10,Anestesia,Espina y espalda
00670,"Anesthesia for extensive spine and spinal cord procedures (eg, Harrington rod technique)",13,Anestesia,Espina y espalda
