codigo,cirugia,rvu,especialidad,grupo
00300,"Anesthesia for all procedures on integumentary system of neck, including subcutaneous tissue",5,Anestesia,Cuello
00320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified",6,Anestesia,Cuello
00322,"needle biopsy of thyroid",3,Anestesia,Cuello
00350,"Anesthesia for procedures on major vessels of neck; not otherwise specified",10,Anestesia,Cuello
00352,"simple ligation",5,Anestesia,Cuello
